name,category,difficulty,key
GDPR Data Theft,Sensitive Data Exposure,4,dataExportChallenge
HTTP-Header XSS,XSS,4,httpHeaderXssChallenge
Imaginary Challenge,Cryptographic Issues,6,continueCodeChallenge
Leaked Access Logs,Observability Failures,5,dlpPasswordSprayingChallenge
Leaked Unsafe Product,Sensitive Data Exposure,4,dlpPastebinDataLeakChallenge
Legacy Typosquatting,Vulnerable Components,4,typosquattingNpmChallenge
Login Admin,Injection,2,loginAdminChallenge
Login Amy,Sensitive Data Exposure,3,loginAmyChallenge
Login Bender,Injection,3,loginBenderChallenge
Login Bjoern,Broken Authentication,4,oauthUserPasswordChallenge
Login Jim,Injection,3,loginJimChallenge
Login MC SafeSearch,Sensitive Data Exposure,2,loginRapperChallenge
Login Support Team,Security Misconfiguration,6,loginSupportChallenge
Manipulate Basket,Broken Access Control,3,basketManipulateChallenge
Misplaced Signature File,Observability Failures,4,misplacedSignatureFileChallenge
Multiple Likes,Broken Anti Automation,6,timingAttackChallenge
Nested Easter Egg,Cryptographic Issues,4,easterEggLevelTwoChallenge
NoSQL DoS,Injection,4,noSqlCommandChallenge
NoSQL Exfiltration,Injection,5,noSqlOrdersChallenge
NoSQL Manipulation,Injection,4,noSqlReviewsChallenge
Outdated Allowlist,Unvalidated Redirects,1,redirectCryptoCurrencyChallenge
Password Strength,Broken Authentication,2,weakPasswordChallenge
Payback Time,Improper Input Validation,3,negativeOrderChallenge
Premium Paywall,Cryptographic Issues,6,premiumPaywallChallenge
Privacy Policy,Miscellaneous,1,privacyPolicyChallenge
Privacy Policy Inspection,Security through Obscurity,3,privacyPolicyProofChallenge
Product Tampering,Broken Access Control,3,changeProductChallenge
Reflected XSS,XSS,2,reflectedXssChallenge
Repetitive Registration,Improper Input Validation,1,passwordRepeatChallenge
Reset Bender's Password,Broken Authentication,4,resetPasswordBenderChallenge
Reset Bjoern's Password,Broken Authentication,5,resetPasswordBjoernChallenge
Reset Jim's Password,Broken Authentication,3,resetPasswordJimChallenge
Reset Morty's Password,Broken Anti Automation,5,resetPasswordMortyChallenge
Retrieve Blueprint,Sensitive Data Exposure,5,retrieveBlueprintChallenge
SSRF,Broken Access Control,6,ssrfChallenge
SSTi,Injection,6,sstiChallenge
Score Board,Miscellaneous,1,scoreBoardChallenge
Security Policy,Miscellaneous,2,securityPolicyChallenge
Server-side XSS Protection,XSS,4,persistedXssFeedbackChallenge
Steganography,Security through Obscurity,4,hiddenImageChallenge
Successful RCE DoS,Insecure Deserialization,6,rceOccupyChallenge
Supply Chain Attack,Vulnerable Components,5,supplyChainAttackChallenge
Two Factor Authentication,Broken Authentication,5,twoFactorAuthUnsafeSecretStorageChallenge
Unsigned JWT,Vulnerable Components,5,jwtUnsignedChallenge
Upload Size,Improper Input Validation,3,uploadSizeChallenge
Upload Type,Improper Input Validation,3,uploadTypeChallenge
User Credentials,Injection,4,unionSqlInjectionChallenge
Video XSS,XSS,6,videoXssChallenge
View Basket,Broken Access Control,2,basketAccessChallenge
Vulnerable Library,Vulnerable Components,4,knownVulnerableComponentChallenge
Weird Crypto,Cryptographic Issues,2,weirdCryptoChallenge
Allowlist Bypass,Unvalidated Redirects,4,redirectChallenge
XXE Data Access,XXE,3,xxeFileDisclosureChallenge
XXE DoS,XXE,5,xxeDosChallenge
Memory Bomb,Insecure Deserialization,5,yamlBombChallenge
Zero Stars,Improper Input Validation,1,zeroStarsChallenge
Missing Encoding,Improper Input Validation,1,missingEncodingChallenge
Cross-Site Imaging,Security Misconfiguration,5,svgInjectionChallenge
Exposed Metrics,Observability Failures,1,exposedMetricsChallenge
Misplaced IaC Files,Security Misconfiguration,2,misplacedIacFiles
Deluxe Fraud,Improper Input Validation,3,freeDeluxeChallenge
CSRF,Broken Access Control,3,csrfChallenge
Bonus Payload,XSS,1,xssBonusChallenge
Reset Uvogin's Password,Sensitive Data Exposure,4,resetPasswordUvoginChallenge
Meta Geo Stalking,Sensitive Data Exposure,2,geoStalkingMetaChallenge
Visual Geo Stalking,Sensitive Data Exposure,2,geoStalkingVisualChallenge
Poison Null Byte,Improper Input Validation,4,nullByteChallenge
Local File Read,Vulnerable Components,5,lfrChallenge
Mass Dispel,Miscellaneous,1,closeNotificationsChallenge
Security Advisory,Miscellaneous,3,csafChallenge
Exposed Credentials,Sensitive Data Exposure,2,exposedCredentialsChallenge
Leaked API Key,Sensitive Data Exposure,5,leakedApiKeyChallenge
Chatbot Prompt Injection,Injection,2,chatbotPromptInjectionChallenge
Greedy Chatbot Manipulation,Injection,3,chatbotGreedyInjectionChallenge
AI Debugging,Broken Access Control,2,aiDebuggingChallenge
System Prompt Extraction,Injection,3,systemPromptExtractionChallenge
Login Cloud Admin,Sensitive Data Exposure,4,iacLeakedKeyChallenge
Vulnerable Infrastructure,Vulnerable Components,3,vulnerableDockerImageChallenge
